,material_id,formation_energy_per_atom,ealstic_vector,pretty_formula,cif
1,FeCr60_10,-63.3189149510102, 184.088345763332,FeCr60,"# generated using pymatgen
 data_Cr9Fe7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.97803174
_cell_length_b   4.97803174
_cell_length_c   7.04000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr9Fe7
_chemical_formula_sum   'Cr9 Fe7'
_cell_volume   174.45683200
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.99891697  0.00111560  0.00009309  1
  Cr  Cr1  1  0.25000000  0.25336721  0.24860080  1
  Cr  Cr2  1  0.99838958  0.00163764  0.50018958  1
  Fe  Fe3  1  0.25000000  0.25275573  0.75293622  1
  Fe  Fe4  1  0.99910363  0.49945445  0.99805000  1
  Cr  Cr5  1  0.25000000  0.74705923  0.24929877  1
  Cr  Cr6  1  0.99841378  0.49800530  0.50111582  1
  Fe  Fe7  1  0.25000000  0.74845246  0.75220682  1
  Cr  Cr8  1  0.50108303  0.00111560  0.00009309  1
  Fe  Fe9  1  0.75000000  0.25400407  0.24674346  1
  Cr  Cr10  1  0.50161042  0.00163764  0.50018958  1
  Fe  Fe11  1  0.75000000  0.25048046  0.75311951  1
  Fe  Fe12  1  0.50089637  0.49945445  0.99805000  1
  Fe  Fe13  1  0.75000000  0.74663907  0.24740582  1
  Cr  Cr14  1  0.50158622  0.49800530  0.50111582  1
  Cr  Cr15  1  0.75000000  0.74681577  0.75079164  1
" 
2,FeCr80_7,-61.7616655280697, 207.957657476667,FeCr80,"# generated using pymatgen
 data_Cr3Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.97803174
_cell_length_b   4.97803174
_cell_length_c   7.04000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr3Fe
_chemical_formula_sum   'Cr12 Fe4'
_cell_volume   174.45683200
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.99568714  0.99676312  0.00000000  1
  Cr  Cr1  1  0.25141393  0.25000000  0.25000000  1
  Cr  Cr2  1  0.99851842  0.99795224  0.50000000  1
  Cr  Cr3  1  0.25141393  0.25000000  0.75000000  1
  Cr  Cr4  1  0.99851842  0.50204776  0.00000000  1
  Cr  Cr5  1  0.25435608  0.75000000  0.25000000  1
  Cr  Cr6  1  0.99568714  0.50323688  0.50000000  1
  Cr  Cr7  1  0.25435608  0.75000000  0.75000000  1
  Fe  Fe8  1  0.50014814  0.00028548  0.00000000  1
  Cr  Cr9  1  0.74609872  0.25000000  0.25000000  1
  Cr  Cr10  1  0.50395936  0.99504274  0.50000000  1
  Cr  Cr11  1  0.74609872  0.25000000  0.75000000  1
  Cr  Cr12  1  0.50395936  0.50495726  0.00000000  1
  Fe  Fe13  1  0.74981821  0.75000000  0.25000000  1
  Fe  Fe14  1  0.50014814  0.49971452  0.50000000  1
  Fe  Fe15  1  0.74981821  0.75000000  0.75000000  1
" 
3,FeCr70_5,-62.3188817532821, 204.435340090783,FeCr70,"# generated using pymatgen
 data_Cr11Fe5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.97803174
_cell_length_b   4.97803174
_cell_length_c   7.04000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr11Fe5
_chemical_formula_sum   'Cr11 Fe5'
_cell_volume   174.45683200
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.00000000  0.99913526  0.00000000  1
  Cr  Cr1  1  0.24753444  0.25186965  0.24925816  1
  Cr  Cr2  1  0.00000000  0.00502312  0.50000000  1
  Fe  Fe3  1  0.25029786  0.25002427  0.75161266  1
  Cr  Cr4  1  0.00000000  0.49524735  0.00000000  1
  Cr  Cr5  1  0.24893241  0.74922197  0.24974638  1
  Fe  Fe6  1  0.00000000  0.49991441  0.50000000  1
  Cr  Cr7  1  0.24844036  0.74786038  0.75020110  1
  Cr  Cr8  1  0.50000000  0.00408068  0.00000000  1
  Fe  Fe9  1  0.74970214  0.25002427  0.24838734  1
  Cr  Cr10  1  0.50000000  0.00218350  0.50000000  1
  Cr  Cr11  1  0.75246556  0.25186965  0.75074184  1
  Fe  Fe12  1  0.50000000  0.50027826  0.00000000  1
  Cr  Cr13  1  0.75155964  0.74786038  0.24979890  1
  Cr  Cr14  1  0.50000000  0.49618488  0.50000000  1
  Cr  Cr15  1  0.75106759  0.74922197  0.75025362  1
" 
4,Ni40Fe20Cr40_0,-223.617034065323, 172.397548542349,Ni40Fe20Cr40,"# generated using pymatgen
 data_Cr23Fe10Ni21
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.46704761
_cell_length_b   7.46704761
_cell_length_c   10.56000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr23Fe10Ni21
_chemical_formula_sum   'Cr23 Fe10 Ni21'
_cell_volume   588.79180800
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.99700935  0.99578609  0.99728222  1
  Cr  Cr1  1  0.16464857  0.16985575  0.16474823  1
  Fe  Fe2  1  0.99860423  0.99876908  0.33436762  1
  Ni  Ni3  1  0.00134506  0.33405184  0.00095490  1
  Ni  Ni4  1  0.16486971  0.50200558  0.16707672  1
  Fe  Fe5  1  0.99990785  0.33436968  0.33521638  1
  Ni  Ni6  1  0.99939812  0.66753184  0.00063554  1
  Ni  Ni7  1  0.16432145  0.83326064  0.16568309  1
  Ni  Ni8  1  0.99962234  0.66945316  0.33235117  1
  Fe  Fe9  1  0.33164007  0.00062557  0.00140819  1
  Ni  Ni10  1  0.50022310  0.16362962  0.16407936  1
  Cr  Cr11  1  0.33266329  0.00238374  0.32886438  1
  Ni  Ni12  1  0.33442146  0.33445410  0.00111192  1
  Cr  Cr13  1  0.50220516  0.49919739  0.16247753  1
  Cr  Cr14  1  0.33293368  0.33332811  0.33429306  1
  Cr  Cr15  1  0.32998419  0.66825156  0.00162755  1
  Ni  Ni16  1  0.50191393  0.83723480  0.16359861  1
  Cr  Cr17  1  0.33213827  0.66899662  0.32877530  1
  Ni  Ni18  1  0.66758530  0.99955598  0.00145909  1
  Cr  Cr19  1  0.83218595  0.16572248  0.16594882  1
  Fe  Fe20  1  0.66791261  0.99881981  0.33214870  1
  Fe  Fe21  1  0.66820975  0.33085084  0.99913194  1
  Cr  Cr22  1  0.83840054  0.49954910  0.16499697  1
  Cr  Cr23  1  0.66679953  0.33035860  0.33616564  1
  Fe  Fe24  1  0.67010260  0.66971728  0.99982650  1
  Ni  Ni25  1  0.83304652  0.83278302  0.16751637  1
  Cr  Cr26  1  0.67046184  0.66707743  0.33194520  1
  Ni  Ni27  1  0.16187254  0.16715730  0.50128346  1
  Ni  Ni28  1  0.99537109  0.99957540  0.66746569  1
  Cr  Cr29  1  0.16272756  0.16712156  0.83384419  1
  Cr  Cr30  1  0.16462524  0.50079987  0.50129358  1
  Ni  Ni31  1  0.99882639  0.32890382  0.66395466  1
  Cr  Cr32  1  0.16645392  0.49863680  0.83082875  1
  Cr  Cr33  1  0.16798992  0.83459400  0.50301785  1
  Fe  Fe34  1  0.99973309  0.66672421  0.66730299  1
  Ni  Ni35  1  0.16357721  0.83069918  0.83157717  1
  Fe  Fe36  1  0.49855457  0.16661913  0.50142436  1
  Cr  Cr37  1  0.33033587  0.00159294  0.66890599  1
  Cr  Cr38  1  0.50100727  0.16660855  0.83523498  1
  Cr  Cr39  1  0.49994868  0.50355905  0.50438856  1
  Ni  Ni40  1  0.33147058  0.33400928  0.66539513  1
  Fe  Fe41  1  0.49943558  0.49955238  0.83445174  1
  Cr  Cr42  1  0.50271652  0.83628971  0.50035101  1
  Ni  Ni43  1  0.33331361  0.66553382  0.66960964  1
  Cr  Cr44  1  0.50037989  0.83450360  0.83463581  1
  Ni  Ni45  1  0.83443281  0.16395990  0.49982795  1
  Ni  Ni46  1  0.67156621  0.00050192  0.66421140  1
  Ni  Ni47  1  0.83224376  0.16457144  0.83325174  1
  Ni  Ni48  1  0.83645077  0.49767056  0.49976596  1
  Cr  Cr49  1  0.66810258  0.33125214  0.66697756  1
  Cr  Cr50  1  0.83610712  0.49716177  0.83678240  1
  Fe  Fe51  1  0.83705266  0.83299235  0.49993362  1
  Cr  Cr52  1  0.66987847  0.66746330  0.66875190  1
  Ni  Ni53  1  0.83327161  0.83432626  0.83184091  1
" 
5,NiFe40_3,-71.5686181982343, 222.724408361086,NiFe40,"# generated using pymatgen
 data_Fe3Ni5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.97803174
_cell_length_b   4.97803174
_cell_length_c   7.04000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe3Ni5
_chemical_formula_sum   'Fe6 Ni10'
_cell_volume   174.45683200
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni0  1  0.99982183  0.00006227  0.99969374  1
  Ni  Ni1  1  0.25015616  0.25017013  0.24972394  1
  Fe  Fe2  1  0.00098976  0.00075638  0.50064318  1
  Ni  Ni3  1  0.24982023  0.24987687  0.75033509  1
  Ni  Ni4  1  0.00019060  0.49987254  0.99969251  1
  Ni  Ni5  1  0.25015014  0.74993010  0.24971669  1
  Ni  Ni6  1  0.99987772  0.50016781  0.50037499  1
  Fe  Fe7  1  0.24921070  0.74933256  0.75056006  1
  Fe  Fe8  1  0.49921643  0.00068803  0.99935314  1
  Fe  Fe9  1  0.75073317  0.25064490  0.24944610  1
  Ni  Ni10  1  0.50032518  0.99973631  0.50021359  1
  Ni  Ni11  1  0.75002571  0.25018364  0.75027097  1
  Ni  Ni12  1  0.49987037  0.50012983  0.99961608  1
  Fe  Fe13  1  0.75076799  0.74940997  0.24941627  1
  Fe  Fe14  1  0.49907741  0.49912360  0.50069811  1
  Ni  Ni15  1  0.74976660  0.74991505  0.75024555  1
" 
6,NiCr70_8,-62.5539582362993, 155.10141439565,NiCr70,"# generated using pymatgen
 data_Cr11Ni5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.97803174
_cell_length_b   4.97803174
_cell_length_c   7.04000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr11Ni5
_chemical_formula_sum   'Cr11 Ni5'
_cell_volume   174.45683200
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni0  1  1.00000000  0.99670583  0.00000000  1
  Cr  Cr1  1  0.24864692  0.25129429  0.24814701  1
  Cr  Cr2  1  0.00000000  0.99769833  0.50000000  1
  Cr  Cr3  1  0.24865474  0.25131805  0.75129549  1
  Cr  Cr4  1  0.00000000  0.50311302  0.00000000  1
  Cr  Cr5  1  0.24851759  0.74846194  0.24894971  1
  Ni  Ni6  1  0.00000000  0.50325385  0.50000000  1
  Ni  Ni7  1  0.24847765  0.74840914  0.75137335  1
  Cr  Cr8  1  0.50000000  0.99723136  0.00000000  1
  Cr  Cr9  1  0.75134526  0.25131805  0.24870451  1
  Cr  Cr10  1  0.50000000  0.99717678  0.50000000  1
  Cr  Cr11  1  0.75135308  0.25129429  0.75185299  1
  Ni  Ni12  1  0.50000000  0.50349638  0.00000000  1
  Ni  Ni13  1  0.75152235  0.74840914  0.24862665  1
  Cr  Cr14  1  0.50000000  0.50235761  0.50000000  1
  Cr  Cr15  1  0.75148241  0.74846194  0.75105029  1
" 
7,NiCr60_12,-64.1789309458069, 133.353062269109,NiCr60,"# generated using pymatgen
 data_Cr9Ni7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.97803174
_cell_length_b   4.97803174
_cell_length_c   7.04000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr9Ni7
_chemical_formula_sum   'Cr9 Ni7'
_cell_volume   174.45683200
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni0  1  0.99847685  0.00178807  0.99556604  1
  Cr  Cr1  1  0.25193919  0.24769555  0.24754353  1
  Cr  Cr2  1  0.99848211  0.00154407  0.50366327  1
  Ni  Ni3  1  0.25343468  0.24660147  0.75331848  1
  Cr  Cr4  1  0.99871920  0.49871920  0.99576843  1
  Cr  Cr5  1  0.25297925  0.75297925  0.24643713  1
  Cr  Cr6  1  0.99875737  0.49875737  0.50541709  1
  Cr  Cr7  1  0.25317845  0.75317845  0.75300637  1
  Ni  Ni8  1  0.50163925  0.00163925  0.99615712  1
  Cr  Cr9  1  0.74659507  0.24659507  0.24637003  1
  Ni  Ni10  1  0.50147160  0.00147160  0.50375142  1
  Ni  Ni11  1  0.74669782  0.24669782  0.75290977  1
  Ni  Ni12  1  0.50178807  0.49847685  0.99556604  1
  Cr  Cr13  1  0.74769555  0.75193919  0.24754353  1
  Cr  Cr14  1  0.50154407  0.49848211  0.50366327  1
  Ni  Ni15  1  0.74660147  0.75343468  0.75331848  1
" 
8,NiFe80_8,-69.2227477444464, 196.845256055932,NiFe80,"# generated using pymatgen
 data_Fe3Ni
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.97803174
_cell_length_b   4.97803174
_cell_length_c   7.04000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe3Ni
_chemical_formula_sum   'Fe12 Ni4'
_cell_volume   174.45683200
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.99930711  0.00080270  0.99925610  1
  Ni  Ni1  1  0.25027950  0.24974872  0.25024701  1
  Fe  Fe2  1  0.99928351  0.00095228  0.50076939  1
  Fe  Fe3  1  0.24915389  0.25072523  0.74921643  1
  Fe  Fe4  1  0.99930603  0.49911916  0.99926181  1
  Fe  Fe5  1  0.24930881  0.74911413  0.25074650  1
  Ni  Ni6  1  0.00013271  0.50010286  0.50033945  1
  Fe  Fe7  1  0.24917653  0.74935547  0.74926821  1
  Fe  Fe8  1  0.50062184  0.00074675  0.99929569  1
  Fe  Fe9  1  0.75101380  0.25082581  0.25083837  1
  Fe  Fe10  1  0.50057948  0.00068779  0.50068665  1
  Ni  Ni11  1  0.74991512  0.25027235  0.74955793  1
  Fe  Fe12  1  0.50062169  0.49917802  0.99931171  1
  Fe  Fe13  1  0.75069655  0.74932279  0.25074727  1
  Fe  Fe14  1  0.50078055  0.49916060  0.50071427  1
  Ni  Ni15  1  0.74982288  0.74988533  0.74974322  1
" 
9,NiCr40_6,-66.48930695377, 144.018046653101,NiCr40,"# generated using pymatgen
 data_Cr3Ni5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.97803174
_cell_length_b   4.97803174
_cell_length_c   7.04000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr3Ni5
_chemical_formula_sum   'Cr6 Ni10'
_cell_volume   174.45683200
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.99713210  0.00265600  0.00266547  1
  Ni  Ni1  1  0.25289431  0.25000000  0.25000000  1
  Ni  Ni2  1  0.99698847  0.00325396  0.49704737  1
  Cr  Cr3  1  0.25350002  0.25000000  0.75000000  1
  Ni  Ni4  1  0.99698847  0.49674604  0.00295263  1
  Cr  Cr5  1  0.25286760  0.75000000  0.25000000  1
  Cr  Cr6  1  0.99713210  0.49734400  0.49733453  1
  Cr  Cr7  1  0.25224055  0.75000000  0.75000000  1
  Ni  Ni8  1  0.50296893  0.00272704  0.00249047  1
  Ni  Ni9  1  0.74677296  0.25000000  0.25000000  1
  Ni  Ni10  1  0.50317326  0.00337919  0.49691329  1
  Ni  Ni11  1  0.74745835  0.25000000  0.75000000  1
  Ni  Ni12  1  0.50317326  0.49662081  0.00308671  1
  Ni  Ni13  1  0.74711774  0.75000000  0.25000000  1
  Ni  Ni14  1  0.50296893  0.49727296  0.49750953  1
  Cr  Cr15  1  0.74662295  0.75000000  0.75000000  1
" 
10,Ni80Fe10Cr10_13,-206.134633929113, 186.186153819439,Ni80Fe10Cr10,"# generated using pymatgen
 data_Cr44(FeNi)5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.46704761
_cell_length_b   7.46704761
_cell_length_c   10.56000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr44(FeNi)5
_chemical_formula_sum   'Cr44 Fe5 Ni5'
_cell_volume   588.79180800
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.99935844  0.99954875  0.99813713  1
  Cr  Cr1  1  0.16625448  0.16740433  0.16633346  1
  Cr  Cr2  1  0.00025491  0.99983486  0.33470216  1
  Fe  Fe3  1  0.00083408  0.33226517  0.99889709  1
  Cr  Cr4  1  0.16816642  0.49955207  0.16761979  1
  Cr  Cr5  1  0.99962899  0.33345581  0.33273972  1
  Cr  Cr6  1  0.00079661  0.66709950  0.99886836  1
  Cr  Cr7  1  0.16553276  0.83322867  0.16690118  1
  Cr  Cr8  1  0.00075639  0.66667484  0.33405052  1
  Cr  Cr9  1  0.33187525  0.99801918  0.99877627  1
  Cr  Cr10  1  0.50023151  0.16623672  0.16694378  1
  Cr  Cr11  1  0.33302186  0.99855398  0.33322818  1
  Cr  Cr12  1  0.33358354  0.33333527  0.99932453  1
  Cr  Cr13  1  0.49844059  0.50031405  0.16816825  1
  Fe  Fe14  1  0.33386381  0.33563661  0.33328769  1
  Cr  Cr15  1  0.33247997  0.66877559  0.99913255  1
  Fe  Fe16  1  0.49840801  0.83384370  0.16635913  1
  Ni  Ni17  1  0.33420941  0.66759359  0.33145482  1
  Fe  Fe18  1  0.66609978  0.99898713  0.99898243  1
  Cr  Cr19  1  0.83361763  0.16497889  0.16279912  1
  Cr  Cr20  1  0.66572976  0.99933734  0.33318362  1
  Cr  Cr21  1  0.66839295  0.33327196  0.99692749  1
  Cr  Cr22  1  0.83459293  0.49953687  0.16525396  1
  Cr  Cr23  1  0.66751078  0.33413186  0.33548493  1
  Cr  Cr24  1  0.66506665  0.66693760  0.00157971  1
  Cr  Cr25  1  0.83175189  0.83516626  0.16544543  1
  Cr  Cr26  1  0.66565290  0.66676806  0.33144618  1
  Cr  Cr27  1  0.16805887  0.16799551  0.49766579  1
  Cr  Cr28  1  0.00141572  0.00012793  0.66710036  1
  Cr  Cr29  1  0.16488227  0.16543010  0.83554894  1
  Cr  Cr30  1  0.16868844  0.50191752  0.50014432  1
  Cr  Cr31  1  0.99905196  0.33317089  0.66838103  1
  Cr  Cr32  1  0.16701078  0.50248117  0.83246777  1
  Cr  Cr33  1  0.16708592  0.83083328  0.50242770  1
  Ni  Ni34  1  0.00368918  0.66750107  0.66760841  1
  Ni  Ni35  1  0.16471769  0.83278217  0.83126998  1
  Cr  Cr36  1  0.49884823  0.16724468  0.50001068  1
  Cr  Cr37  1  0.33171761  0.99846670  0.66786648  1
  Cr  Cr38  1  0.50220224  0.16582945  0.83270153  1
  Cr  Cr39  1  0.49714533  0.50124419  0.50128181  1
  Cr  Cr40  1  0.33277370  0.33257161  0.66695558  1
  Cr  Cr41  1  0.49847927  0.50091951  0.83032955  1
  Cr  Cr42  1  0.49885373  0.83152781  0.50089979  1
  Ni  Ni43  1  0.32941799  0.66838464  0.66931338  1
  Cr  Cr44  1  0.49859812  0.83244200  0.83276770  1
  Cr  Cr45  1  0.83343550  0.16542854  0.50044367  1
  Cr  Cr46  1  0.66725008  0.00170215  0.66727741  1
  Ni  Ni47  1  0.83485125  0.16433098  0.83781124  1
  Cr  Cr48  1  0.83503169  0.50217301  0.50179948  1
  Cr  Cr49  1  0.66871307  0.33210893  0.66763110  1
  Cr  Cr50  1  0.83500229  0.49984952  0.83292539  1
  Cr  Cr51  1  0.83448602  0.83239799  0.50179665  1
  Cr  Cr52  1  0.66748890  0.66602457  0.66682694  1
  Cr  Cr53  1  0.83499188  0.83462544  0.83271985  1
" 
